# USA Swimming 2024-2028 Motivational Time Standards.
# Source: USA Swimming Motivational Times 2024-2028 (public PDF).
#
# Coverage in this file:
#   - Ages: 10&U (encoded as 0-10), 11-12, 13-14
#   - Genders: F, M
#   - Courses: SCY (yards) — primary for age-group meets
#   - Events: 50/100/200 Free, 50/100 Back, 50/100 Breast, 50/100 Fly, 100/200 IM
#   - Levels: B, BB, A, AA, AAA, AAAA
#
# Gaps documented:
#   - 8&U, 9-10 split (we combine into 10&U / 0-10 to match 11-12 cliffs)
#   - 15-16, 17-18 not seeded yet — add when Anderson ages up
#   - SCM/LCM courses not seeded yet — SCY covers the primary age-group meet season
#   - 500/1000/1650 Free not seeded — add when distance events come into play
# These gaps are non-blocking for MVP. getStandardLookup returns null when no
# match found, which the UI handles gracefully (no badge displayed).
#
# Times are expressed in MM:SS.hh and converted to integer ms by the seed script.
# Columns: distance_m,stroke,course,age_min,age_max,gender,standard,time
50,FR,SCY,0,10,F,B,40.99
50,FR,SCY,0,10,F,BB,37.59
50,FR,SCY,0,10,F,A,34.19
50,FR,SCY,0,10,F,AA,32.49
50,FR,SCY,0,10,F,AAA,30.79
50,FR,SCY,0,10,F,AAAA,29.09
50,FR,SCY,0,10,M,B,41.49
50,FR,SCY,0,10,M,BB,38.09
50,FR,SCY,0,10,M,A,34.69
50,FR,SCY,0,10,M,AA,33.09
50,FR,SCY,0,10,M,AAA,31.39
50,FR,SCY,0,10,M,AAAA,29.69
100,FR,SCY,0,10,F,B,1:30.79
100,FR,SCY,0,10,F,BB,1:23.19
100,FR,SCY,0,10,F,A,1:15.59
100,FR,SCY,0,10,F,AA,1:11.79
100,FR,SCY,0,10,F,AAA,1:07.99
100,FR,SCY,0,10,F,AAAA,1:04.19
100,FR,SCY,0,10,M,B,1:31.49
100,FR,SCY,0,10,M,BB,1:23.89
100,FR,SCY,0,10,M,A,1:16.29
100,FR,SCY,0,10,M,AA,1:12.49
100,FR,SCY,0,10,M,AAA,1:08.69
100,FR,SCY,0,10,M,AAAA,1:04.89
200,FR,SCY,0,10,F,B,3:18.49
